N9721	health	nutrition	50 Foods You Should Never Eat, According to Health Experts	This is so depressing.	https://assets.msn.com/labs/mind/AABDHTv.html	[]	[]
N62084	news	newspolitics	House Republicans try to force a vote on censuring Adam Schiff	"Rep. Andy Biggs, R-Ariz., on Wednesday took steps to try to force a vote on his motion to condemn and censure House Intelligence Committee Chairman Adam Schiff, D-Calif., for his ""egregiously false and fabricated"" reading of President Trump's July phone call with Ukrainian leader Volodymyr Zelensky during a hearing last month."	https://assets.msn.com/labs/mind/AAISxrn.html	"[{""Label"": ""Adam Schiff"", ""Type"": ""P"", ""WikidataId"": ""Q350843"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [51], ""SurfaceForms"": [""Adam Schiff""]}]"	"[{""Label"": ""Republican Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29468"", ""Confidence"": 0.92, ""OccurrenceOffsets"": [0, 17], ""SurfaceForms"": [""Rep."", ""R""]}, {""Label"": ""Adam Schiff"", ""Type"": ""P"", ""WikidataId"": ""Q350843"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [148], ""SurfaceForms"": [""Adam Schiff""]}, {""Label"": ""Andy Biggs"", ""Type"": ""P"", ""WikidataId"": ""Q16199304"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Andy Biggs""]}, {""Label"": ""Volodymyr Zelensky"", ""Type"": ""N"", ""WikidataId"": ""Q3874799"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [281], ""SurfaceForms"": [""Volodymyr Zelensky""]}, {""Label"": ""Democratic Party (United States)"", ""Type"": ""O"", ""WikidataId"": ""Q29552"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [161], ""SurfaceForms"": [""D""]}, {""Label"": ""Donald Trump"", ""Type"": ""P"", ""WikidataId"": ""Q22686"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [225], ""SurfaceForms"": [""President Trump""]}, {""Label"": ""United States House Permanent Select Committee on Intelligence"", ""Type"": ""U"", ""WikidataId"": ""Q2495362"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [110], ""SurfaceForms"": [""House Intelligence Committee""]}, {""Label"": ""California"", ""Type"": ""G"", ""WikidataId"": ""Q99"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [163], ""SurfaceForms"": [""Calif.""]}, {""Label"": ""Arizona"", ""Type"": ""G"", ""WikidataId"": ""Q816"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Ariz.""]}]"
N10376	health	medical	Meet SCAD, a Major Cause of Heart Attacks in Women 50 and Under	It stands for spontaneous coronary artery dissection.	https://assets.msn.com/labs/mind/AAGbOFn.html	[]	[]
N7951	news	newsworld	British police investigating truck deaths arrest 2 more, driver still in custody	Two more people   a man and a woman   were arrested Friday as part of the investigation into the gruesome deaths of 39 people inside the back of a semi-truck in southeastern England.	https://assets.msn.com/labs/mind/AAJl4n8.html	"[{""Label"": ""Palestine Police Force"", ""Type"": ""O"", ""WikidataId"": ""Q2920352"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""British police""]}]"	"[{""Label"": ""England"", ""Type"": ""G"", ""WikidataId"": ""Q21"", ""Confidence"": 0.94, ""OccurrenceOffsets"": [174], ""SurfaceForms"": [""England""]}]"
N58332	entertainment	celebrity	From cat names to fruit, here are 11 bizarre things celebrities have tried to trademark	From Taylor Swift to Kylie Jenner, a lot of stars have tried to trademark things like commonly used terms, song lyrics, and signature catchphrases.	https://assets.msn.com/labs/mind/AADzrTr.html	[]	"[{""Label"": ""Taylor Swift"", ""Type"": ""P"", ""WikidataId"": ""Q26876"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Taylor Swift""]}, {""Label"": ""Kylie Jenner"", ""Type"": ""P"", ""WikidataId"": ""Q1770624"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""Kylie Jenner""]}]"
N20743	lifestyle	lifestylesmartliving	10 Things Women Need To Stop Feeling So Guilty About	Before you start feeling guilty, remember these things.	https://assets.msn.com/labs/mind/AAGeLra.html	[]	[]
N21383	health	medical	Doctors Want FDA To Warn Women About Cheese And Breast Cancer Link	Up to 12,000 members of Physicians Committee for Responsible Medicine agreed that the federal government should add label to cheese products that would warn women about the risk of having breast cancer.	https://assets.msn.com/labs/mind/AAINcGd.html	"[{""Label"": ""Food and Drug Administration"", ""Type"": ""O"", ""WikidataId"": ""Q204711"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""FDA""]}]"	"[{""Label"": ""Physicians Committee for Responsible Medicine"", ""Type"": ""O"", ""WikidataId"": ""Q1057845"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [24], ""SurfaceForms"": [""Physicians Committee for Responsible Medicine""]}]"
N9900	health	nutrition	32 Best Good-Mood Foods	There are plenty of foods with proven mood-boosting benefits that can help you get happier and healthier with every bite.	https://assets.msn.com/labs/mind/AABc5fE.html	[]	[]
N32907	health	healthagingwell	Now That I'm Over 50, I'm Finally Sucking It Up And Getting In Shape	When my health insurance plan offered a free membership at the fitness center of my choice, how could I refuse?	https://assets.msn.com/labs/mind/AABcBVL.html	[]	[]
N228	travel	travelnews	Stowaway Discovered in Couple's Carry-On Luggage	A British couple's trip to New York was almost derailed when airport security scans revealed a cat hidden inside their suitcase.	https://assets.msn.com/labs/mind/AAJ4O8Z.html	[]	[]
N12987	lifestyle	lifestyledidyouknow	9 Abandoned Mansions That Will Make Your Toes Curl		https://assets.msn.com/labs/mind/AAGbuE5.html	[]	[]
N12676	lifestyle	causes-green-living	Pollution around the world: 30 shocking photos	While it's easy to become overwhelmed by stats and images about current pollution and trajectories for years to come, the intent of this article is not to instill fear. The intent is to be realistic, to learn from what is going on in the world, and to support one another in our collective efforts to change. Pollution knows no boundaries, so for the sake of future generations, let's err on the side of action and hope.	https://assets.msn.com/labs/mind/AAI3zkK.html	[]	[]
N47966	travel	travelnews	Original Delta Airlines Flight Attendant Dies at 103	Sybil Peacock Harmon was a 24-year-old nursing school graduate when she was hired as one of Delta's first stewardesses in 1940.	https://assets.msn.com/labs/mind/AAISHof.html	"[{""Label"": ""Delta Air Lines"", ""Type"": ""O"", ""WikidataId"": ""Q188920"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""Delta Airlines""]}]"	"[{""Label"": ""Delta Air Lines"", ""Type"": ""O"", ""WikidataId"": ""Q188920"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [92], ""SurfaceForms"": [""Delta""]}]"
N39535	news	newsworld	Today in History: November 3		https://assets.msn.com/labs/mind/AAJrGNw.html	[]	[]
N7403	news	newscrime	Man taken into custody after SWAT situation at large Milton home	SWAT teams surrounded a home in Milton Wednesday and took a man into custody.	https://assets.msn.com/labs/mind/AAISxzs.html	"[{""Label"": ""SWAT"", ""Type"": ""U"", ""WikidataId"": ""Q324563"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""SWAT""]}]"	"[{""Label"": ""SWAT"", ""Type"": ""U"", ""WikidataId"": ""Q324563"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""SWAT""]}]"
N18753	finance	markets	Is the World Economy Sliding Into First Recession Since 2009?	The global economy is wobbling and whether it topples over is the big question in financial markets, executive suites and the corridors of power.	https://assets.msn.com/labs/mind/AAIGvvG.html	[]	[]
N45174	lifestyle	advice	Ask The Salty Waitress: The cashier is texting instead of ringing up my order	Dear Salty, I was traveling this weekend on business and had a tight connection that meant I had to switch airport terminals. Between my two long flights, I barely had time to grab some food to tide me over. So with 5 minutes until my plane boards, I decided to grab a sandwich from a counter-service barbecue restaurant that had no line and barely anyone sitting at its tables. I figured it would be fastest, since there was no line.	https://assets.msn.com/labs/mind/AAJwgru.html	[]	[]
N32202	finance	finance-real-estate	The world's best private beaches you can actually buy	Fancy snagging your own white-sand retreat? The dream might just be more achievable than you think.	https://assets.msn.com/labs/mind/AAIp6Fi.html	[]	[]
N62357	sports	football_ncaa	Fan falls from upper deck during Oklahoma State-Iowa State game	An unidentified fan fell from Jack Trice Stadium's upper deck to the lower deck during Saturday's Iowa State-Oklahoma State football game	https://assets.msn.com/labs/mind/AAJrGjA.html	[]	"[{""Label"": ""Jack Trice Stadium"", ""Type"": ""F"", ""WikidataId"": ""Q3157332"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Jack Trice Stadium""]}]"
N53095	travel	traveltripideas	The Most Beautiful Natural Wonder in Every State	While humans have built some impressive, gravity-defying, and awe-inspiring marvels   here are the most photographed structures in the world   the natural world may have us beat.	https://assets.msn.com/labs/mind/AAF8Brj.html	[]	[]
N1398	news	newsus	Iowa woman killed by explosion at gender reveal party	An Iowa woman was killed by debris from an explosion at a gender reveal party on Saturday, police said.	https://assets.msn.com/labs/mind/AAJrGoa.html	"[{""Label"": ""Iowa"", ""Type"": ""G"", ""WikidataId"": ""Q1546"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Iowa""]}]"	"[{""Label"": ""Iowa"", ""Type"": ""G"", ""WikidataId"": ""Q1546"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [3], ""SurfaceForms"": [""Iowa""]}]"
N34930	health	nutrition	9 Vegetables You Shouldn't Eat Raw	Are raw foods healthier than cooked foods?	https://assets.msn.com/labs/mind/AACMPka.html	[]	[]
N16384	foodanddrink	restaurantsandnews	This fast food chain has the best fries, according to customers	We asked our readers who has the best fries in all of fast food, and Five Guys' fries snatched the potato cake right from McDonald's greasy grasp.	https://assets.msn.com/labs/mind/AAJaD1A.html	[]	"[{""Label"": ""McDonald's"", ""Type"": ""O"", ""WikidataId"": ""Q38076"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [122], ""SurfaceForms"": [""McDonald's""]}]"
N4209	health	nutrition	6 Signs You're Not Getting Enough Potassium	Potassium is a crucial electrolyte that helps your muscles, but if your levels are too low, you could be in trouble. If you match many of these signs, you might want to ask your doctor about a potassium deficiency. Better safe than sorry! The post 6 Signs You're Not Getting Enough Potassium appeared first on The Healthy.	https://assets.msn.com/labs/mind/AAHu3bc.html	[]	"[{""Label"": ""Health"", ""Type"": ""C"", ""WikidataId"": ""Q12147"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [310], ""SurfaceForms"": [""The Healthy""]}]"
N19495	lifestyle	lifestyleroyals	Prince Harry Has the Sweetest Response When Young Student Calls Him Handsome During Japan Trip	Prince Harry Has Sweet Response When Student Calls Him Handsome	https://assets.msn.com/labs/mind/AAJKO3h.html	"[{""Label"": ""Prince Harry, Duke of Sussex"", ""Type"": ""N"", ""WikidataId"": ""Q152316"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Prince Harry""]}, {""Label"": ""Handsome (song)"", ""Type"": ""W"", ""WikidataId"": ""Q19263662"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [68], ""SurfaceForms"": [""Handsome""]}]"	"[{""Label"": ""Prince Harry, Duke of Sussex"", ""Type"": ""N"", ""WikidataId"": ""Q152316"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Prince Harry""]}, {""Label"": ""Handsome (song)"", ""Type"": ""W"", ""WikidataId"": ""Q19263662"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [55], ""SurfaceForms"": [""Handsome""]}]"
N53879	news	newsus	U.S. Supreme Court divided over Kansas immigrant identity theft case	U.S. Supreme Court divided over Kansas immigrant identity theft case	https://assets.msn.com/labs/mind/AAISILT.html	"[{""Label"": ""Kansas"", ""Type"": ""G"", ""WikidataId"": ""Q1558"", ""Confidence"": 0.992, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""Kansas""]}, {""Label"": ""Supreme Court of the United States"", ""Type"": ""O"", ""WikidataId"": ""Q11201"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""U.S. Supreme Court""]}]"	"[{""Label"": ""Kansas"", ""Type"": ""G"", ""WikidataId"": ""Q1558"", ""Confidence"": 0.992, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""Kansas""]}, {""Label"": ""Supreme Court of the United States"", ""Type"": ""O"", ""WikidataId"": ""Q11201"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""U.S. Supreme Court""]}]"
N7004	lifestyle	lifestyleroyals	Meghan and Harry to take 'family time' off, says royal source	The Duke and Duchess of Sussex will take a break from royal duties towards the end of the year, dividing their time between the US and the UK.	https://assets.msn.com/labs/mind/AAJ47ZB.html	"[{""Label"": ""Prince Harry, Duke of Sussex"", ""Type"": ""N"", ""WikidataId"": ""Q152316"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Harry""]}, {""Label"": ""Meghan, Duchess of Sussex"", ""Type"": ""N"", ""WikidataId"": ""Q3304418"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Meghan""]}]"	"[{""Label"": ""Duke of Sussex"", ""Type"": ""U"", ""WikidataId"": ""Q772304"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Duke and Duchess of Sussex""]}]"
N18005	health	medical	40 Health Symptoms You Should Never Ignore	Don't ignore the simple signals that something is wrong very, very wrong.	https://assets.msn.com/labs/mind/AAGplGo.html	[]	[]
N5978	finance	markets	Eric Tse, 24, just became a billionaire overnight	A 24-year-old business school graduate has just become an overnight billionaire.	https://assets.msn.com/labs/mind/AAJgUbS.html	[]	[]
N21136	tv	tv-celebrity	Andy Cohen Says He Doesn't Feel Guilty About Joe and Teresa Giudice's Legal Fate After RHONJ	Andy Cohen Doesn't Feel Guilt About Joe and Teresa Giudice	https://assets.msn.com/labs/mind/AAJwqhy.html	"[{""Label"": ""Teresa Giudice"", ""Type"": ""P"", ""WikidataId"": ""Q7702149"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [45, 53], ""SurfaceForms"": [""Joe"", ""Teresa Giudice""]}, {""Label"": ""Andy Cohen (TV personality)"", ""Type"": ""N"", ""WikidataId"": ""Q2014922"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Andy Cohen""]}, {""Label"": ""The Real Housewives of New Jersey"", ""Type"": ""W"", ""WikidataId"": ""Q7759594"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [87], ""SurfaceForms"": [""RHONJ""]}]"	"[{""Label"": ""Teresa Giudice"", ""Type"": ""P"", ""WikidataId"": ""Q7702149"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [36, 44], ""SurfaceForms"": [""Joe"", ""Teresa Giudice""]}, {""Label"": ""Andy Cohen (TV personality)"", ""Type"": ""N"", ""WikidataId"": ""Q2014922"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Andy Cohen""]}]"
N55526	entertainment	celebrity	36 Celebs You Won't Recognize from Their Yearbook Photos	See what Meryl Streep, Emma Stone and others looked like in their yearbook photos	https://assets.msn.com/labs/mind/AAHcODe.html	[]	"[{""Label"": ""Emma Stone"", ""Type"": ""P"", ""WikidataId"": ""Q147077"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Emma Stone""]}, {""Label"": ""Meryl Streep"", ""Type"": ""P"", ""WikidataId"": ""Q873"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""Meryl Streep""]}]"
N44396	finance	markets	Parking space sells for almost $1 million	Businessman Johnny Cheung has reportedly sold a 135-square-foot parking space in Hong Kong for a whopping $969,000 to an as-yet-undentified buyer.	https://assets.msn.com/labs/mind/AAJgV2O.html	[]	"[{""Label"": ""Hong Kong"", ""Type"": ""G"", ""WikidataId"": ""Q8646"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [81], ""SurfaceForms"": [""Hong Kong""]}]"
N50985	sports	tennis	With Linz Open semis win, Coco Gauff becomes youngest WTA finalist in 15 years	Coco Gauff won the Linz Open semifinals, becoming the youngest woman since Nicole Vaidisova in 2004 to be a WTA finalist.	https://assets.msn.com/labs/mind/AAIGyGg.html	"[{""Label"": ""Women's Tennis Association"", ""Type"": ""O"", ""WikidataId"": ""Q948442"", ""Confidence"": 0.927, ""OccurrenceOffsets"": [54], ""SurfaceForms"": [""WTA""]}, {""Label"": ""Linz Open"", ""Type"": ""U"", ""WikidataId"": ""Q660558"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Linz Open""]}]"	"[{""Label"": ""Nicole Vaidi\u0161ov\u00e1"", ""Type"": ""P"", ""WikidataId"": ""Q223668"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [75], ""SurfaceForms"": [""Nicole Vaidisova""]}, {""Label"": ""Women's Tennis Association"", ""Type"": ""O"", ""WikidataId"": ""Q948442"", ""Confidence"": 0.927, ""OccurrenceOffsets"": [108], ""SurfaceForms"": [""WTA""]}, {""Label"": ""Linz Open"", ""Type"": ""U"", ""WikidataId"": ""Q660558"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Linz Open""]}]"
N48044	entertainment	entertainment-books	15 Scary YA Books That Are Perfect For Halloween	It's hard to resist the urge to read something spooky in the Fall.	https://assets.msn.com/labs/mind/AAHu9I1.html	[]	[]
N39624	lifestyle	lifestylebuzz	Ninja History Student Writes Term Paper in Invisible Ink   Gets an 'A'	The university freshman sent her education into stealth mode.	https://assets.msn.com/labs/mind/AAIIJ9s.html	[]	[]
N21746	news	newsus	10-year-old girl dies after falling off carnival ride, police say	A 10-year-old girl has died after she fell off a carnival ride in New Jersey, according to police.	https://assets.msn.com/labs/mind/AAIIJAV.html	[]	"[{""Label"": ""New Jersey"", ""Type"": ""G"", ""WikidataId"": ""Q1408"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""New Jersey""]}]"
N1843	tv	tvnews	Survivor Contestant Rudy Boesch Dies at 91 After Long Battle with Alzheimer's Disease	Survivor's Rudy Boesch Dead at 91	https://assets.msn.com/labs/mind/AAJKOeV.html	"[{""Label"": ""Rudy Boesch"", ""Type"": ""P"", ""WikidataId"": ""Q7377586"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [20], ""SurfaceForms"": [""Rudy Boesch""]}, {""Label"": ""Alzheimer's disease"", ""Type"": ""U"", ""WikidataId"": ""Q11081"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""Alzheimer's Disease""]}]"	"[{""Label"": ""Rudy Boesch"", ""Type"": ""P"", ""WikidataId"": ""Q7377586"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Rudy Boesch""]}]"
